"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","Comments"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2012","2012","","EUR","Europe","","POL","Poland","","2.219","2.21900","","","<b>Physicians: </b>Includes Practising physicians</br><b> Country: </b>Poland </br><b>Year: </b>2012</br><b> Data Source:</b> WHO/Europe, HlthResDB, September 2014"
"HRH_31","Environmental and public health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=322","PUBLISHED","Published","","2001","2001","","AMR","Americas","","DMA","Dominica","","0.833","0.83300","","","<b>Environment and public health workers: </b>Includes Public health practitioners</br><b> Country: </b>Dominica </br><b>Year: </b>2001</br><b> Data Source:</b> Dominica 2001 Census, Pan American Health Organization"
"HRH_31","Environmental and public health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=322","PUBLISHED","Published","","2004","2004","","EMR","Eastern Mediterranean","","YEM","Yemen","","0.038","0.03800","","","<b>Environment and public health workers: </b>Includes Environmental and Public Health Officers Technicians</br><b> Country: </b>Yemen</br><b>Year: </b>2004</br><b> Data Source:</b> HRD"
"HRH_32","Health management & support workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4550","PUBLISHED","Published","","2010","2010","","AMR","Americas","","CUB","Cuba","","0.189","0.18900","","",""
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2001","2001","","AMR","Americas","","VCT","Saint Vincent and the Grenadines","","0.525","0.52500","","","<b>Physician: </b>Includes Medical doctors</br><b> Country: </b>Saint Vincent and the Grenadines</br><b>Year: </b>2001</br><b> Data Source:</b> Saint Vincent 2001 Census"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2003","2003","","AMR","Americas","","NIC","Nicaragua","","0.374","0.37400","","","<b>Physician: </b>Includes Medical doctor</br><b> Country: </b>Nicaragua </br><b>Year: </b>2003</br><b> Data Source:</b> Ministerio de Salud. http://www.minsa.gob.ni/estru"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2004","2004","","WPR","Western Pacific","","KOR","Republic of Korea","","1.375","1.37500","","","<b>Dentistry personnel: </b>Includes Dental hygienists, Dental technicians, Dentists</br><b> Country: </b>Republic of Korea</br><b>Year: </b>2004</br><b> Data Source:</b> Yearbook of health and welfare statistics"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2009","2009","","AFR","Africa","","SYC","Seychelles","","5.19","5.19000","","","<b>Nursing and midwifery personnel: </b>Includes Nurses</br><b> Country: </b>Seychelles </br><b>Year: </b>2009</br><b> Data Source:</b> National Statistics Bureau "
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2005","2005","","EUR","Europe","","ISL","Iceland","","1.064","1.06400","","","<b>Dentistry personnel: </b>Includes Dental hygienists, Dentists</br><b> Country: </b>Iceland </br><b>Year: </b>2005</br><b> Data Source:</b> Directorate of Health"
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2006","2006","","AFR","Africa","","SYC","Seychelles","","0.049","0.04900","","","<b>Pharmaceutical personnel: </b>Includes Pharmacists</br><b> Country: </b>Seychelles </br><b>Year: </b>2006</br><b> Data Source:</b> National Statistics Bureau "
"HRH_32","Health management & support workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4550","PUBLISHED","Published","","2000","2000","","EUR","Europe","","EST","Estonia","","7.944","7.94400","","",""
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2002","2002","","AMR","Americas","","SLV","El Salvador","","0.54","0.54000","","","<b>Dentistry personnel: </b>Includes Dentist</br><b> Country: </b>El Salvador </br><b>Year: </b>2002</br><b> Data Source:</b> Council of Public Health"
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2009","2009","","AMR","Americas","","BLZ","Belize","","0.385","0.38500","","","<b>Pharmaceutical personnel: </b>Includes Pharmacist</br><b> Country: </b>Belize </br><b>Year: </b>2009</br><b> Data Source:</b> HRH Belize 2009: A Status Report on the HRH Core Data Set and Regional Baselines Indicator Project"
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","MNG","Mongolia","","0.396","0.39600","","","<b>Pharmaceutical personnel: </b>Includes Pharmacists</br><b> Country: </b>Mongolia </br><b>Year: </b>2008</br><b> Data Source:</b> "Health Indicators 2008". Governing Implementing Agency-Department of Health"
"HRH_27","Laboratory health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4549","PUBLISHED","Published","","2005","2005","","AMR","Americas","","BRB","Barbados","","0.052","0.05200","","","<b>Laboratory health workers: </b>Includes Radiographers, Laboratory Technologists/Technicians</br><b> Country: </b>Barbados </br><b>Year: </b>2005</br><b> Data Source:</b> Annual Report of the Chief Medical Officer, 2002-2003, MOH Barbados, 2006 March"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2009","2009","","EUR","Europe","","DNK","Denmark","","16.093","16.09300","","","<b>Nursing and midwifery personnel: </b>Includes Qualified nurses, Qualified auxiliary nurses, Midwives</br><b> Country: </b>Denmark </br><b>Year: </b>2009</br><b> Data Source:</b> Norden database"
"HRH_30","Other health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=106","PUBLISHED","Published","","2006","2006","","SEAR","South-East Asia","","LKA","Sri Lanka","","0.057","0.05700","","",""
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2010","2010","","EUR","Europe","","LTU","Lithuania","","0.731","0.73100","","","<b>Dentistry personnel: </b>Includes Practicing odontologists</br><b> Country: </b>Lithuania </br><b>Year: </b>2010</br><b> Data Source:</b> Health Information Centre, Institute of Hygiene"
"HRH_32","Health management & support workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4550","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","LAO","Lao People's Democratic Republic","","0.672","0.67200","","",""
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","1991","1991","","SEAR","South-East Asia","","IND","India","","1.26","1.26000","","","<b>Physician: </b>Includes Physicians & Surgeons (Allopathic, Dental and Veterinary) , Physicians & Surgeons ( Allopathic), Physicians & Surgeons n.e.c.</br><b> Country: </b>India </br><b>Year: </b>1991</br><b> Data Source:</b> Census of India, 1991"
"HRH_30","Other health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=106","PUBLISHED","Published","","2009","2009","","AFR","Africa","","SWZ","Swaziland","","1.309","1.30900","","",""
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2009","2009","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","0.003","0.00300","","","<b>Dentistry personnel: </b>Includes Dentists</br><b> Country: </b>Afghanistan </br><b>Year: </b>2009</br><b> Data Source:</b> Ministry of Public Health and other Ministries"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2005","2005","","AFR","Africa","","CMR","Cameroon","","0.064","0.06400","","","<b>Physician: </b>Includes M�decins</br><b> Country: </b>Cameroon </br><b>Year: </b>2005</br><b> Data Source:</b> SIGIPES 2009"
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2001","2001","","EMR","Eastern Mediterranean","","BHR","Bahrain","","0.195","0.19500","","","<b>Pharmaceutical personnel: </b>Includes Pharmacists & Technicians</br><b> Country: </b>Bahrain </br><b>Year: </b>2001</br><b> Data Source:</b> Bahrain Ministry of Health"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2008","2008","","EMR","Eastern Mediterranean","","SAU","Saudi Arabia","","2.021","2.02100","","","<b>Physician: </b>Includes Physician</br><b> Country: </b>Saudi Arabia </br><b>Year: </b>2008</br><b> Data Source:</b> Ministry of Health"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","1993","1993","","AMR","Americas","","PAN","Panama","","0.224","0.22400","","","<b>Dentistry personnel: </b>Includes Odont�logos (Dentists)</br><b> Country: </b>Panama </br><b>Year: </b>1993</br><b> Data Source:</b> Instituto Nacional de Estad�stica y Censo"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","1993","1993","","AMR","Americas","","CUB","Cuba","","4.705","4.70500","","","<b>Physician: </b>Includes M�dicos </br><b> Country: </b>Cuba </br><b>Year: </b>1993</br><b> Data Source:</b> Registro de Profesionales de la Salud. MINSAP"
"HRH_30","Other health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=106","PUBLISHED","Published","","2004","2004","","AFR","Africa","","NGA","Nigeria","","0.01","0.01000","","",""
"HRH_32","Health management & support workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4550","PUBLISHED","Published","","1995","1995","","WPR","Western Pacific","","CHN","China","","0.812","0.81200","","",""
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","1995","1995","","EMR","Eastern Mediterranean","","TUN","Tunisia","","0.167","0.16700","","","<b>Pharmaceutical personnel: </b>Includes Pharmaciens</br><b> Country: </b>Tunisia </br><b>Year: </b>1995</br><b> Data Source:</b> Minist�re de la Sant� Publique"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2005","2005","","AFR","Africa","","UGA","Uganda","","0.117","0.11700","","","<b>Physician: </b>Includes Medical Doctors</br><b> Country: </b>Uganda </br><b>Year: </b>2005</br><b> Data Source:</b> Uganda Human Resources for Health Country Profile - October 2006"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2009","2009","","EMR","Eastern Mediterranean","","EGY","Egypt","","2.83","2.83000","","","<b>Physician: </b>Includes Physicians </br><b> Country: </b>Egypt</br><b>Year: </b>2009</br><b> Data Source:</b> WHO EMRO Country Profiles "
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","1999","1999","","AMR","Americas","","GRD","Grenada","","0.173","0.17300","","","<b>Dentistry personnel: </b>Includes Dentists, Dental Auxiliaries</br><b> Country: </b>Grenada </br><b>Year: </b>1999</br><b> Data Source:</b> National strategic plan for health(2006-10), October2005"
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2012","2012","","AFR","Africa","","COD","Democratic Republic of the Congo","","0.004","0.00400","","","<b>Pharmaceutical personnel: </b>Includes Pharmacists licensed/registered</br><b> Country: </b>Democratic Republic of the Congo</br><b>Year: </b>2012</br><b> Data Source:</b> Ordre national des pharmaciens"
"HRH_30","Other health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=106","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","PNG","Papua New Guinea","","0.363","0.36300","","",""
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2004","2004","","AFR","Africa","","MLI","Mali","","0.026","0.02600","","","<b>Pharmaceutical personnel: </b>Includes Pharmacist</br><b> Country: </b>Mali </br><b>Year: </b>2004</br><b> Data Source:</b> DAF/Sant�"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","TUN","Tunisia","","0.782","0.78200","","","<b>Physician: </b>Includes M�decins</br><b> Country: </b>Tunisia </br><b>Year: </b>2000</br><b> Data Source:</b> Minist�re de la Sant� Publique"
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","1993","1993","","SEAR","South-East Asia","","LKA","Sri Lanka","","0.033","0.03300","","","<b>Pharmaceutical personnel: </b>Includes Pharmacists</br><b> Country: </b>Sri Lanka </br><b>Year: </b>1993</br><b> Data Source:</b> Medical Statistics Unit"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","1999","1999","","EMR","Eastern Mediterranean","","SYR","Syrian Arab Republic","","1.888","1.88800","","","<b>Nursing and midwifery personnel: </b>Includes Nurses, Midwives</br><b> Country: </b>Syrian Arab Republic </br><b>Year: </b>1999</br><b> Data Source:</b> Statistical Abstract, 2005"
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2000","2000","","EUR","Europe","","FRA","France","","0.985","0.98500","","","<b>Pharmaceutical personnel: </b>Includes Pharmaciens</br><b> Country: </b>France </br><b>Year: </b>2000</br><b> Data Source:</b> Eco-Sant� France d'apr�s donn�es Adeli de la DREES"
"HRH_31","Environmental and public health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=322","PUBLISHED","Published","","1992","1992","","AMR","Americas","","CHL","Chile","","0.026","0.02600","","","<b>Environment and public health workers: </b>Includes Hygienists and Other Sanitary Personnel</br><b> Country: </b>Chile </br><b>Year: </b>1992</br><b> Data Source:</b> Census (IPUMS)"
"HRH_32","Health management & support workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4550","PUBLISHED","Published","","2006","2006","","AFR","Africa","","GMB","Gambia","","0.135","0.13500","","",""
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2012","2012","","EUR","Europe","","HUN","Hungary","","6.478","6.47800","","","<b>Nursing and midwifery personnel: </b>Includes Practising nurses, Practising midwives</br><b> Country: </b>Hungary </br><b>Year: </b>2012</br><b> Data Source:</b> WHO/Europe, HlthResDB, September 2014"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","1993","1993","","EMR","Eastern Mediterranean","","TUN","Tunisia","","0.116","0.11600","","","<b>Dentistry personnel: </b>Includes Dentistes</br><b> Country: </b>Tunisia </br><b>Year: </b>1993</br><b> Data Source:</b> Minist�re de la Sant� Publique"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2012","2012","","EUR","Europe","","ISR","Israel","","0.697","0.69700","","","<b>Dentistry personnel: </b>Includes Practising dentists</br><b> Country: </b>Israel </br><b>Year: </b>2012</br><b> Data Source:</b> WHO/Europe, HlthResDB, September 2014"
"HRH_29","Community and traditional health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4551","PUBLISHED","Published","","2004","2004","","AFR","Africa","","COG","Congo","","0.032","0.03200","","","<b>Community and traditional health workers: </b>Includes Traditional birth attendant (TBA)</br><b> Country: </b>Congo</br><b>Year: </b>2004</br><b> Data Source:</b> Minist�re de la sant� et dela population, Direction G�n�rale du Budget, Centre National de Sant� Publique, Laboratoire National de Sant� Publique, Centre Hospitalier Universitaire, Formations Sanitaires Publiques"
"HRH_30","Other health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=106","PUBLISHED","Published","","2009","2009","","WPR","Western Pacific","","MNG","Mongolia","","0.439","0.43900","","",""
"HRH_31","Environmental and public health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=322","PUBLISHED","Published","","2007","2007","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","0.004","0.00400","","","<b>Environment and public health workers: </b>Includes TECNICOS EN SANEAMIENTO AMB.</br><b> Country: </b>Bolivia </br><b>Year: </b>2007</br><b> Data Source:</b> Sistema Nacional de Informaci�n en Salud - Vigilancia Epidemiol�gica (SNIS-VE)"
"HRH_32","Health management & support workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4550","PUBLISHED","Published","","2009","2009","","AMR","Americas","","PER","Peru","","2.899","2.89900","","",""
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2007","2007","","EMR","Eastern Mediterranean","","LBN","Lebanon","","1.897","1.89700","","","<b>Nursing and midwifery personnel: </b>Includes Nursing and Midwifery Personnel</br><b> Country: </b>Lebanon </br><b>Year: </b>2007</br><b> Data Source:</b> MOPH Lebanon "
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2006","2006","","AMR","Americas","","GRD","Grenada","","0.663","0.66300","","","<b>Physician: </b>Includes Medical doctors</br><b> Country: </b>Grenada </br><b>Year: </b>2006</br><b> Data Source:</b> WHO, 2006"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2004","2004","","AFR","Africa","","MWI","Malawi","","0.022","0.02200","","","<b>Physician: </b>Includes Generalist, Specialist</br><b> Country: </b>Malawi </br><b>Year: </b>2004</br><b> Data Source:</b> Registrar office"
"HRH_30","Other health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=106","PUBLISHED","Published","","2003","2003","","SEAR","South-East Asia","","IND","India","","1.686","1.68600","","",""
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","1994","1994","","WPR","Western Pacific","","JPN","Japan","","0.648","0.64800","","","<b>Dentistry personnel: </b>Includes Dentists</br><b> Country: </b>Japan </br><b>Year: </b>1994</br><b> Data Source:</b> Statistics and Information Department, Minister's Secretariat, Ministry of Health, Labour and Welfare."
"HRH_27","Laboratory health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4549","PUBLISHED","Published","","2009","2009","","AFR","Africa","","NGA","Nigeria","","0.006","0.00600","","","<b>Laboratory health workers: </b>Includes Radiographers</br><b> Country: </b>Nigeria </br><b>Year: </b>2009</br><b> Data Source:</b> Federal Ministry of Health, Abuja/ Nursing and Midwifery Council of Nigeria, Lagos"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2004","2004","","AMR","Americas","","CAN","Canada","","1.076","1.07600","","","<b>Dentistry personnel: </b>Includes Dental Hygienists, Dentists</br><b> Country: </b>Canada </br><b>Year: </b>2004</br><b> Data Source:</b> Health Personnel Database, Canadian Institute for Health Information"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2002","2002","","WPR","Western Pacific","","TON","Tonga","","0.291","0.29100","","","<b>Physician: </b>Includes Physicians</br><b> Country: </b>Tonga </br><b>Year: </b>2002</br><b> Data Source:</b> WHO/WPR Core Indicators 2005 database"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","1998","1998","","SEAR","South-East Asia","","LKA","Sri Lanka","","0.8","0.80000","","","<b>Nursing and midwifery personnel: </b>Includes Nurses</br><b> Country: </b>Sri Lanka </br><b>Year: </b>1998</br><b> Data Source:</b> Medical Statistics Uniti - MOH and Indigenous Medicine"
